round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.3036,0.5304,2.079,0.2517,24852960,51.988,37.8,440.2,0.017
2,selectiveHE,-1,1.145,0.5894,1.4524,0.4807,24852960,50.649,38.5,21.0,0.014
3,selectiveHE,-1,1.0184,0.637,1.2506,0.5569,24852960,51.64,38.7,0.0,0.017
4,selectiveHE,-1,0.9186,0.6734,1.0543,0.6272,24852960,50.689,39.0,0.0,0.016
5,selectiveHE,-1,0.8508,0.6986,0.9509,0.6644,24852960,51.584,38.3,0.0,0.02
6,selectiveHE,-1,0.7878,0.7218,0.9143,0.6793,24852960,50.963,39.1,8.1,0.018
7,selectiveHE,-1,0.7435,0.7356,0.8644,0.6971,24852960,51.592,38.6,0.0,0.017
8,selectiveHE,-1,0.7057,0.7491,0.8253,0.7073,24852960,51.666,38.6,0.0,0.014
9,selectiveHE,-1,0.6776,0.7611,0.8253,0.7088,24852960,52.531,38.1,0.0,0.017
10,selectiveHE,-1,0.6528,0.7687,0.7519,0.7348,24852960,51.739,39.0,0.0,0.017
11,selectiveHE,-1,0.6323,0.7759,0.7447,0.7396,24852960,52.975,37.9,0.0,0.016
12,selectiveHE,-1,0.6175,0.7823,0.712,0.7509,24852960,50.461,39.7,1.8,0.019
13,selectiveHE,-1,0.6066,0.7862,0.6993,0.7579,24852960,51.174,38.4,0.0,0.021
14,selectiveHE,-1,0.5882,0.7924,0.6681,0.7748,24852960,50.073,39.4,0.0,0.018
15,selectiveHE,-1,0.5735,0.7973,0.6767,0.7666,24852960,50.482,39.2,0.0,0.014
16,selectiveHE,-1,0.5652,0.8003,0.6389,0.7795,24852960,50.612,38.9,0.0,0.014
17,selectiveHE,-1,0.5554,0.8055,0.6271,0.7827,24852960,49.74,38.7,0.0,0.018
18,selectiveHE,-1,0.5435,0.8086,0.6321,0.7796,24852960,51.118,38.0,0.0,0.016
19,selectiveHE,-1,0.5324,0.8114,0.6293,0.7815,24852960,49.869,39.5,0.0,0.019
20,selectiveHE,-1,0.5264,0.8149,0.5971,0.7923,24852960,52.523,37.8,0.0,0.014
