round_num,scenario,live_nodes,skipped_nodes,eval_loss,eval_acc,ring_latency_s,enc_time_s,comm_bytes,completed,round_completion_rate
1,B (10% transient),5,[],2.3086,0.1,0.007,0.062,3342971,True,1.0
2,B (10% transient),5,[],1.6957,0.3854,0.01,0.107,3343015,True,1.0
3,B (10% transient),5,[],1.3611,0.4997,0.007,0.061,3343688,True,1.0
4,B (10% transient),5,[],1.2009,0.563,0.007,0.062,3342780,True,1.0
5,B (10% transient),4,[2],1.1468,0.5857,0.006,0.049,2673982,True,1.0
6,B (10% transient),4,[2],1.0932,0.6114,0.008,0.069,2674699,True,1.0
7,B (10% transient),4,[2],1.0246,0.6385,0.006,0.052,2673649,True,1.0
8,B (10% transient),4,[2],0.994,0.6538,0.006,0.049,2674688,True,1.0
9,B (10% transient),4,[2],0.9905,0.6534,0.005,0.049,2674546,True,1.0
10,B (10% transient),4,[2],0.9418,0.674,0.006,0.051,2674947,True,1.0
11,B (10% transient),5,[],0.8339,0.7108,0.007,0.061,3343262,True,1.0
12,B (10% transient),5,[],0.8187,0.7166,0.009,0.061,3343253,True,1.0
13,B (10% transient),5,[],0.7985,0.7242,0.007,0.062,3343639,True,1.0
14,B (10% transient),5,[],0.7644,0.7353,0.007,0.071,3343345,True,1.0
15,B (10% transient),5,[],0.7583,0.7337,0.006,0.061,3342914,True,1.0
16,B (10% transient),5,[],0.7455,0.74,0.008,0.106,3342718,True,1.0
17,B (10% transient),5,[],0.7241,0.7523,0.007,0.064,3341999,True,1.0
18,B (10% transient),5,[],0.7233,0.7571,0.006,0.062,3343041,True,1.0
19,B (10% transient),5,[],0.696,0.7621,0.008,0.063,3342849,True,1.0
20,B (10% transient),5,[],0.6912,0.7629,0.009,0.101,3342450,True,1.0
