round_num,scenario,live_nodes,skipped_nodes,eval_loss,eval_acc,ring_latency_s,enc_time_s,comm_bytes,completed,round_completion_rate
1,C (30% sustained),5,[],2.3092,0.1,0.007,0.071,3342050,True,1.0
2,C (30% sustained),5,[],1.7081,0.3841,0.007,0.062,3343019,True,1.0
3,C (30% sustained),5,[],1.3502,0.5082,0.006,0.063,3343702,True,1.0
4,C (30% sustained),5,[],1.2001,0.5669,0.007,0.064,3342731,True,1.0
5,C (30% sustained),4,[2],1.1355,0.5956,0.006,0.049,2673270,True,1.0
6,C (30% sustained),4,[2],1.0783,0.6163,0.006,0.05,2674475,True,1.0
7,C (30% sustained),4,[2],1.0237,0.6382,0.006,0.05,2673354,True,1.0
8,C (30% sustained),3,"[2, 4]",0.9763,0.6665,0.005,0.037,2005991,True,1.0
9,C (30% sustained),3,"[2, 4]",0.9604,0.665,0.005,0.039,2005506,True,1.0
10,C (30% sustained),3,"[2, 4]",0.9304,0.6707,0.004,0.037,2005578,True,1.0
11,C (30% sustained),3,"[2, 4]",0.8837,0.6886,0.005,0.037,2005723,True,1.0
12,C (30% sustained),3,"[2, 4]",0.8757,0.6964,0.005,0.038,2006233,True,1.0
13,C (30% sustained),3,"[2, 4]",0.8636,0.7026,0.005,0.037,2006480,True,1.0
14,C (30% sustained),3,"[2, 4]",0.8651,0.7012,0.005,0.038,2006509,True,1.0
15,C (30% sustained),3,"[2, 4]",0.8676,0.699,0.005,0.037,2004652,True,1.0
16,C (30% sustained),3,"[2, 4]",0.8421,0.7054,0.005,0.038,2005274,True,1.0
17,C (30% sustained),3,"[2, 4]",0.8047,0.7218,0.005,0.066,2005605,True,1.0
18,C (30% sustained),3,"[2, 4]",0.7873,0.723,0.006,0.062,2006001,True,1.0
19,C (30% sustained),3,"[2, 4]",0.799,0.7261,0.005,0.043,2006003,True,1.0
20,C (30% sustained),3,"[2, 4]",0.7883,0.7288,0.005,0.039,2005669,True,1.0
