round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,1.3165,0.5222,2.1571,0.2758,0.0132
2,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,1.1785,0.5764,1.5679,0.442,0.0152
3,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,1.0375,0.6288,1.4637,0.461,0.0136
4,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.9368,0.6654,1.0345,0.6421,0.0156
5,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.8586,0.6959,1.084,0.6117,0.017
6,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.7916,0.7189,1.06,0.6134,0.0174
7,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.7459,0.7359,1.0073,0.6385,0.0155
8,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.7059,0.7493,0.8757,0.6879,0.0185
9,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.6772,0.7596,0.8586,0.6994,0.0147
10,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.6455,0.7734,0.7702,0.7362,0.0177
11,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.6284,0.7783,0.7613,0.7356,0.014
12,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.6082,0.7849,0.9158,0.6833,0.0159
13,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5906,0.7918,0.8153,0.7105,0.0157
14,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5825,0.7954,0.7979,0.7188,0.0156
15,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.563,0.8014,0.7184,0.7493,0.015
16,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5503,0.806,0.6914,0.7591,0.0191
17,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5389,0.811,0.6706,0.7676,0.0182
18,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5298,0.8131,0.7741,0.7284,0.015
19,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5182,0.8164,0.7246,0.753,0.0164
20,constant_inject_0.1_fedavg,constant_inject,0.1,fedavg,0,0.5096,0.8205,0.6654,0.7717,0.0162
