round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,1.3023,0.5307,2.2483,0.2235,0.0131
2,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,1.1695,0.5824,1.8526,0.3375,0.016
3,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,1.0149,0.6403,1.5983,0.4265,0.0167
4,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.9194,0.6743,1.4896,0.4735,0.0145
5,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.8502,0.6998,1.4023,0.4956,0.0144
6,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.797,0.719,1.5134,0.4845,0.0188
7,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.7546,0.7345,1.2478,0.5614,0.0156
8,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.7148,0.7476,1.4222,0.5239,0.016
9,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.6856,0.7574,1.1642,0.5862,0.0166
10,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.6638,0.7664,1.1988,0.5766,0.0129
11,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.645,0.7734,1.2823,0.5638,0.016
12,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.628,0.7788,1.128,0.6012,0.0131
13,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.613,0.7852,1.2035,0.5886,0.0149
14,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.5982,0.7893,1.1043,0.6041,0.0169
15,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.5832,0.7956,1.0289,0.6447,0.0164
16,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.5765,0.7983,1.0433,0.6307,0.0131
17,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.5615,0.8034,0.9934,0.6462,0.0153
18,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.5535,0.8051,1.034,0.6376,0.0171
19,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.543,0.8102,1.1782,0.6114,0.0158
20,constant_inject_0.3_fedmedian,constant_inject,0.3,fedmedian,2,0.5365,0.8111,1.0592,0.6265,0.0221
