round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,Baseline_FedAvg,,0.0,fedavg,0,1.306,0.53,2.2025,0.2429,0.0159
2,Baseline_FedAvg,,0.0,fedavg,0,1.1507,0.5862,1.5507,0.4387,0.017
3,Baseline_FedAvg,,0.0,fedavg,0,1.024,0.6362,1.3267,0.5207,0.0131
4,Baseline_FedAvg,,0.0,fedavg,0,0.9185,0.6724,1.1488,0.5971,0.0151
5,Baseline_FedAvg,,0.0,fedavg,0,0.8528,0.698,1.0384,0.6375,0.0139
6,Baseline_FedAvg,,0.0,fedavg,0,0.7859,0.7218,1.0341,0.6268,0.0174
7,Baseline_FedAvg,,0.0,fedavg,0,0.7418,0.7364,1.113,0.6223,0.0146
8,Baseline_FedAvg,,0.0,fedavg,0,0.704,0.7501,0.9057,0.6814,0.0198
9,Baseline_FedAvg,,0.0,fedavg,0,0.672,0.7635,0.8399,0.7106,0.017
10,Baseline_FedAvg,,0.0,fedavg,0,0.643,0.7728,0.8302,0.7146,0.0173
11,Baseline_FedAvg,,0.0,fedavg,0,0.6238,0.7804,0.7966,0.7153,0.0165
12,Baseline_FedAvg,,0.0,fedavg,0,0.6076,0.7866,0.7481,0.7404,0.0148
13,Baseline_FedAvg,,0.0,fedavg,0,0.594,0.7916,0.7762,0.7305,0.0204
14,Baseline_FedAvg,,0.0,fedavg,0,0.5778,0.7962,0.7862,0.7281,0.0153
15,Baseline_FedAvg,,0.0,fedavg,0,0.5602,0.8028,0.7145,0.7528,0.0152
16,Baseline_FedAvg,,0.0,fedavg,0,0.5478,0.807,0.6532,0.7741,0.0151
17,Baseline_FedAvg,,0.0,fedavg,0,0.5425,0.8107,0.6848,0.7628,0.0169
18,Baseline_FedAvg,,0.0,fedavg,0,0.5254,0.8147,0.7104,0.7563,0.0134
19,Baseline_FedAvg,,0.0,fedavg,0,0.5145,0.8189,0.6311,0.7832,0.0147
20,Baseline_FedAvg,,0.0,fedavg,0,0.5095,0.8195,0.7647,0.7373,0.0183
