round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,1.3065,0.5286,2.2213,0.1938,0.0153
2,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,1.1608,0.5846,1.5864,0.4068,0.0154
3,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,1.0259,0.635,1.2821,0.5644,0.0172
4,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.9184,0.6757,1.1816,0.5805,0.0151
5,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.8474,0.6999,0.9695,0.6608,0.0149
6,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.7852,0.7222,0.9087,0.6787,0.0172
7,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.741,0.737,0.8884,0.6907,0.0133
8,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.7008,0.7511,0.8666,0.6943,0.0202
9,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.6731,0.7632,0.9231,0.6729,0.0166
10,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.6459,0.7717,0.8815,0.7008,0.0178
11,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.6246,0.7791,0.8795,0.6977,0.0166
12,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.6043,0.7849,0.9408,0.6799,0.0132
13,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5892,0.7924,0.8595,0.6952,0.0157
14,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5726,0.7989,0.7013,0.7548,0.0211
15,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5581,0.8029,0.7965,0.7195,0.0157
16,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5485,0.807,0.6577,0.7745,0.0169
17,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.539,0.8099,0.9354,0.6806,0.0194
18,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5276,0.8131,0.8344,0.7163,0.0184
19,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5169,0.8185,0.6831,0.762,0.0149
20,random_noise_0.0_fedavg,random_noise,0.0,fedavg,0,0.5074,0.8208,0.7144,0.7509,0.0167
