round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,1.2979,0.5319,2.2641,0.1114,0.0168
2,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,1.1696,0.58,1.6908,0.4187,0.0131
3,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,1.0278,0.6352,1.3474,0.5126,0.0141
4,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.9263,0.6714,1.2327,0.5515,0.015
5,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.8473,0.6991,1.0316,0.6197,0.0166
6,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.7922,0.7184,1.0813,0.6091,0.0152
7,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.7367,0.7389,1.0477,0.6155,0.0151
8,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.7003,0.7547,0.9014,0.6805,0.0176
9,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.6685,0.7643,1.0053,0.6611,0.0146
10,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.6424,0.7721,0.8242,0.7074,0.015
11,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.6201,0.7801,0.8054,0.7141,0.0182
12,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.603,0.7871,0.8707,0.6993,0.0153
13,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.584,0.7939,0.7197,0.751,0.0175
14,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.5728,0.7987,0.7851,0.7229,0.0169
15,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.557,0.8032,0.7162,0.7438,0.0197
16,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.5468,0.8064,0.8674,0.7029,0.0133
17,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.5397,0.8099,0.7681,0.727,0.0164
18,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.5264,0.8141,0.9448,0.6692,0.0152
19,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.5172,0.8185,0.7197,0.758,0.0169
20,random_noise_0.3_fedmedian,random_noise,0.3,fedmedian,2,0.5096,0.82,0.7291,0.7437,0.018
