round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,1.3107,0.5266,2.2382,0.1455,0.0161
2,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,1.1716,0.5805,1.5606,0.429,0.0183
3,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,1.0396,0.6293,1.3233,0.5293,0.0152
4,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.9338,0.6659,1.1508,0.5877,0.017
5,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.8579,0.6961,1.0448,0.6368,0.0168
6,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.7949,0.7171,1.0825,0.6088,0.0137
7,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.7428,0.7356,0.8721,0.6919,0.0149
8,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.7076,0.75,0.9247,0.6652,0.0136
9,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.6707,0.7635,0.8473,0.7039,0.0154
10,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.6493,0.7703,0.8298,0.712,0.0153
11,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.6235,0.7801,0.8877,0.6833,0.0146
12,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.6059,0.7857,0.8244,0.708,0.0157
13,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5911,0.7899,0.7263,0.7484,0.0166
14,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5751,0.7965,0.7567,0.7395,0.0135
15,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5583,0.8038,0.9156,0.6908,0.0166
16,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5506,0.8069,0.7035,0.7576,0.0154
17,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5375,0.8114,0.6519,0.7736,0.0171
18,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5284,0.8146,0.8001,0.7312,0.0169
19,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5163,0.8174,0.6926,0.7601,0.0154
20,sign_inverted_0.0_fedmedian,sign_inverted,0.0,fedmedian,0,0.5104,0.8204,0.7077,0.7578,0.0136
