round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,1.3064,0.527,2.2606,0.1554,0.0193
2,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,1.1665,0.5856,1.7788,0.3876,0.0152
3,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,1.0345,0.6336,1.4746,0.5337,0.0161
4,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.9396,0.6673,1.4413,0.5836,0.0149
5,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.8666,0.6939,1.3478,0.5526,0.0159
6,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.8118,0.7139,1.376,0.5466,0.0147
7,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.7714,0.7298,1.361,0.5469,0.0154
8,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.7328,0.743,1.1647,0.6443,0.017
9,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.707,0.7516,1.1897,0.6132,0.0178
10,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.6821,0.761,1.2498,0.5873,0.0157
11,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.6614,0.769,1.1719,0.6064,0.014
12,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.6456,0.7736,1.1654,0.6161,0.0144
13,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.628,0.7807,1.2156,0.5955,0.0134
14,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.6166,0.7855,1.1537,0.642,0.0137
15,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.6018,0.7908,0.9688,0.7083,0.0135
16,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.5918,0.7936,1.0004,0.7003,0.0157
17,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.5779,0.7972,1.0667,0.6658,0.0168
18,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.5716,0.802,1.0881,0.6417,0.0136
19,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.564,0.8034,1.0092,0.6869,0.0175
20,sign_inverted_0.2_fedavg,sign_inverted,0.2,fedavg,1,0.5521,0.8075,1.1308,0.6319,0.0148
