round_num,node_order,alpha,condition,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,ring_latency_s,enc_time_s
1,"[4, 1, 3, 0, 2]",0.5,random_order,1.3132,0.5325,2.3089,0.1,24707752,60.861,0.057,0.07
2,"[1, 2, 4, 3, 0]",0.5,random_order,1.3611,0.5118,1.691,0.3821,24707678,60.388,0.058,0.071
3,"[3, 2, 1, 4, 0]",0.5,random_order,1.1156,0.603,1.3464,0.5013,24707712,62.905,0.059,0.061
4,"[4, 1, 2, 3, 0]",0.5,random_order,0.9856,0.6526,1.2021,0.5621,24707660,61.207,0.058,0.063
5,"[4, 3, 0, 1, 2]",0.5,random_order,0.9007,0.6849,1.0517,0.6261,24707584,60.114,0.058,0.062
6,"[1, 3, 2, 4, 0]",0.5,random_order,0.8375,0.7076,0.9905,0.6502,24707237,61.665,0.058,0.062
7,"[2, 1, 3, 4, 0]",0.5,random_order,0.7861,0.7249,0.9169,0.6825,24707250,60.811,0.059,0.107
8,"[1, 4, 2, 0, 3]",0.5,random_order,0.7461,0.7399,0.9028,0.6854,24707737,61.133,0.058,0.062
9,"[3, 2, 0, 1, 4]",0.5,random_order,0.721,0.7501,0.8559,0.706,24706919,61.471,0.058,0.062
10,"[0, 4, 1, 2, 3]",0.5,random_order,0.6868,0.7627,0.8341,0.7084,24706841,61.826,0.058,0.107
11,"[0, 3, 1, 4, 2]",0.5,random_order,0.6677,0.7688,0.8189,0.7172,24707321,62.154,0.058,0.062
12,"[3, 2, 4, 1, 0]",0.5,random_order,0.645,0.777,0.7773,0.7334,24707538,62.782,0.058,0.063
13,"[4, 1, 2, 0, 3]",0.5,random_order,0.6295,0.7837,0.7672,0.7365,24707695,62.8,0.058,0.062
14,"[0, 2, 3, 1, 4]",0.5,random_order,0.6119,0.7893,0.7422,0.7412,24707208,60.939,0.058,0.061
15,"[0, 4, 3, 1, 2]",0.5,random_order,0.5949,0.7945,0.7209,0.7567,24708110,62.992,0.058,0.062
16,"[4, 1, 2, 3, 0]",0.5,random_order,0.5816,0.7997,0.7249,0.7529,24706891,60.514,0.057,0.062
17,"[2, 4, 1, 0, 3]",0.5,random_order,0.5716,0.8021,0.7352,0.751,24707126,61.882,0.059,0.071
18,"[1, 2, 0, 3, 4]",0.5,random_order,0.5546,0.8083,0.6854,0.7658,24707193,62.924,0.058,0.062
19,"[4, 2, 0, 1, 3]",0.5,random_order,0.5486,0.8097,0.6979,0.7608,24707131,60.372,0.058,0.063
20,"[2, 1, 4, 3, 0]",0.5,random_order,0.5417,0.8122,0.6733,0.7729,24707770,60.95,0.057,0.063
