round,arch,latency_ms,eval_acc,eval_loss,train_acc,enc_overhead_ms,latency_overhead_ms,wall_time_s
1,ResNet18,0,12.24,2.5559,0.5249,31.1,0.0,93.33
2,ResNet18,0,38.72,1.5866,0.6039,31.0,0.0,94.08
3,ResNet18,0,48.78,1.3865,0.6632,25.32,0.0,94.74
4,ResNet18,0,53.88,1.2303,0.7054,30.76,0.0,111.3
5,ResNet18,0,60.54,1.0713,0.7502,28.91,0.0,108.59
6,ResNet18,0,64.02,0.9625,0.77,30.19,0.0,107.69
7,ResNet18,0,68.51,0.8979,0.7943,27.07,0.0,98.6
8,ResNet18,0,68.98,0.8766,0.819,29.75,0.0,99.84
9,ResNet18,0,72.61,0.7895,0.8171,34.39,0.0,107.15
10,ResNet18,0,75.36,0.7182,0.8304,35.71,0.0,98.32
11,ResNet18,0,76.77,0.689,0.8409,34.44,0.0,102.29
12,ResNet18,0,75.9,0.7193,0.8436,34.52,0.0,100.15
13,ResNet18,0,77.89,0.648,0.8554,23.65,0.0,96.61
14,ResNet18,0,78.49,0.6726,0.8574,27.79,0.0,90.13
15,ResNet18,0,78.96,0.6744,0.8777,27.2,0.0,94.58
16,ResNet18,0,80.2,0.6398,0.8724,35.11,0.0,100.16
17,ResNet18,0,79.11,0.6483,0.8843,29.62,0.0,86.67
18,ResNet18,0,82.25,0.5883,0.8718,27.86,0.0,88.47
19,ResNet18,0,79.82,0.6308,0.887,28.21,0.0,88.85
20,ResNet18,0,79.78,0.6297,0.8928,29.26,0.0,85.4
