round,arch,latency_ms,eval_acc,eval_loss,train_acc,enc_overhead_ms,latency_overhead_ms,wall_time_s
1,ResNet18,100,11.11,2.5144,0.5175,31.1,100.1,87.14
2,ResNet18,100,37.23,1.6795,0.5968,29.14,100.11,90.06
3,ResNet18,100,49.31,1.433,0.6567,26.37,100.39,95.42
4,ResNet18,100,57.97,1.1718,0.7067,24.95,100.12,110.12
5,ResNet18,100,60.15,1.0714,0.7536,25.76,100.11,106.71
6,ResNet18,100,66.63,0.9387,0.7693,26.29,100.13,105.74
7,ResNet18,100,69.86,0.8577,0.7975,25.59,100.1,97.55
8,ResNet18,100,71.94,0.8249,0.822,33.26,100.11,99.24
9,ResNet18,100,72.59,0.7931,0.8201,30.07,100.1,107.1
10,ResNet18,100,76.5,0.7071,0.8323,29.81,100.1,98.6
11,ResNet18,100,77.37,0.6984,0.8417,27.65,100.09,101.69
12,ResNet18,100,76.68,0.6973,0.8464,34.62,100.11,99.08
13,ResNet18,100,79.8,0.6294,0.8549,31.1,100.11,98.83
14,ResNet18,100,78.77,0.6605,0.8563,33.66,100.11,90.19
15,ResNet18,100,78.65,0.6892,0.88,34.97,100.1,96.39
16,ResNet18,100,81.43,0.6164,0.8742,26.52,100.09,98.35
17,ResNet18,100,79.88,0.6414,0.8869,30.97,100.1,87.11
18,ResNet18,100,80.85,0.62,0.8748,25.83,100.12,88.7
19,ResNet18,100,81.88,0.5914,0.8901,32.49,100.1,88.98
20,ResNet18,100,80.24,0.6094,0.8919,28.49,100.12,86.22
