round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.499,0.4859,2.1281,0.265,39752400,50.266,34.8,453.8,0.018
2,selectiveHE,-1,1.4075,0.5139,1.6619,0.3763,39752400,44.236,38.0,17.0,0.017
3,selectiveHE,-1,1.2562,0.5678,1.3186,0.542,39752400,45.879,36.5,0.0,0.018
4,selectiveHE,-1,1.1436,0.6041,1.2373,0.5548,39752400,44.902,37.8,0.4,0.018
5,selectiveHE,-1,1.0568,0.6369,1.1165,0.62,39752400,44.084,37.7,0.0,0.015
6,selectiveHE,-1,0.995,0.659,1.037,0.634,39752400,45.157,37.9,10.2,0.019
7,selectiveHE,-1,0.9511,0.6705,0.9862,0.6654,39752400,42.497,37.5,0.0,0.018
8,selectiveHE,-1,0.8997,0.6899,0.9653,0.6625,39752400,45.605,37.9,0.0,0.018
9,selectiveHE,-1,0.8832,0.6944,0.8878,0.6921,39752400,45.191,37.9,0.0,0.018
10,selectiveHE,-1,0.8364,0.712,0.8599,0.7063,39752400,46.786,38.0,0.0,0.019
11,selectiveHE,-1,0.7972,0.7244,0.8328,0.7106,39752400,47.323,37.4,0.0,0.017
12,selectiveHE,-1,0.7704,0.7337,0.813,0.7123,39752400,44.265,37.9,0.0,0.015
13,selectiveHE,-1,0.7665,0.7356,0.7867,0.7312,39752400,46.793,37.5,0.0,0.017
14,selectiveHE,-1,0.7427,0.7423,0.782,0.7288,39752400,42.324,37.9,0.0,0.014
15,selectiveHE,-1,0.7429,0.7418,0.7428,0.7454,39752400,47.171,37.7,0.0,0.018
16,selectiveHE,-1,0.7282,0.7459,0.7487,0.7427,39752400,48.023,38.2,0.0,0.017
17,selectiveHE,-1,0.7184,0.7521,0.7263,0.7508,39752400,44.696,37.7,0.0,0.015
18,selectiveHE,-1,0.6767,0.7673,0.7214,0.7492,39752400,42.952,37.7,0.0,0.018
19,selectiveHE,-1,0.6828,0.7644,0.6896,0.7632,39752400,49.268,38.4,0.0,0.017
20,selectiveHE,-1,0.6701,0.7686,0.6907,0.7603,39752400,44.829,37.5,0.0,0.015
