round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.2862,0.5326,2.0863,0.2418,19886480,40.995,37.5,430.7,0.018
2,selectiveHE,-1,1.1178,0.5975,1.5197,0.4432,19886480,37.151,37.4,16.9,0.014
3,selectiveHE,-1,0.9887,0.6484,1.252,0.5527,19886480,37.549,36.9,0.0,0.015
4,selectiveHE,-1,0.9147,0.6756,1.1242,0.6003,19886480,38.958,38.4,0.0,0.017
5,selectiveHE,-1,0.8859,0.6835,1.0336,0.6325,19886480,39.516,37.6,0.0,0.015
6,selectiveHE,-1,0.7715,0.7248,0.9458,0.6666,19886480,37.743,36.9,0.0,0.015
7,selectiveHE,-1,0.771,0.7272,0.9333,0.6726,19886480,36.132,38.6,0.0,0.014
8,selectiveHE,-1,0.7269,0.7442,0.8506,0.6982,19886480,38.075,36.6,0.0,0.015
9,selectiveHE,-1,0.6701,0.7613,0.8014,0.7221,19886480,36.895,38.4,5.7,0.018
10,selectiveHE,-1,0.6959,0.7536,0.8042,0.7167,19886480,39.282,37.8,0.0,0.014
11,selectiveHE,-1,0.6394,0.7758,0.7777,0.7293,19886480,43.405,37.7,0.0,0.015
12,selectiveHE,-1,0.6339,0.7781,0.7414,0.7427,19886480,37.223,36.9,4.2,0.018
13,selectiveHE,-1,0.6152,0.7865,0.751,0.7389,19886480,35.165,38.5,0.0,0.013
14,selectiveHE,-1,0.6218,0.78,0.7468,0.7399,19886480,39.167,37.2,0.0,0.013
15,selectiveHE,-1,0.5766,0.7976,0.6534,0.7763,19886480,42.705,37.7,0.0,0.014
16,selectiveHE,-1,0.5881,0.7936,0.7254,0.7515,19886480,38.989,38.4,0.0,0.018
17,selectiveHE,-1,0.5789,0.796,0.6852,0.7664,19886480,39.031,38.3,0.0,0.016
18,selectiveHE,-1,0.5385,0.8109,0.6508,0.7738,19886480,38.642,36.6,0.0,0.013
19,selectiveHE,-1,0.5369,0.8119,0.6272,0.7879,19886480,40.224,37.5,0.0,0.016
20,selectiveHE,-1,0.5555,0.8035,0.6821,0.7654,19886480,38.597,39.1,0.0,0.018
