round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.3037,0.5309,2.1163,0.2783,24852960,57.06,36.1,441.9,0.015
2,selectiveHE,-1,1.1502,0.5868,1.5284,0.4575,24852960,53.698,38.1,21.0,0.014
3,selectiveHE,-1,1.0197,0.6378,1.2598,0.5587,24852960,53.736,37.9,0.0,0.016
4,selectiveHE,-1,0.9139,0.674,1.0474,0.626,24852960,51.85,39.0,0.0,0.014
5,selectiveHE,-1,0.8475,0.7,0.9629,0.6616,24852960,53.311,38.1,0.1,0.016
6,selectiveHE,-1,0.7866,0.7204,0.9091,0.6778,24852960,53.062,38.0,0.0,0.016
7,selectiveHE,-1,0.7451,0.735,0.8475,0.7026,24852960,51.902,39.2,7.8,0.017
8,selectiveHE,-1,0.7059,0.7508,0.7939,0.7205,24852960,53.527,37.9,0.0,0.016
9,selectiveHE,-1,0.6773,0.7617,0.8231,0.7121,24852960,51.747,39.3,0.0,0.017
10,selectiveHE,-1,0.6546,0.7676,0.7472,0.7339,24852960,53.444,38.0,0.0,0.016
11,selectiveHE,-1,0.6343,0.7755,0.739,0.7433,24852960,53.746,37.8,0.0,0.02
12,selectiveHE,-1,0.6183,0.7807,0.7122,0.7559,24852960,52.102,39.4,0.0,0.018
13,selectiveHE,-1,0.6078,0.7867,0.7008,0.7589,24852960,52.453,37.8,0.0,0.014
14,selectiveHE,-1,0.5912,0.7911,0.6607,0.7736,24852960,50.378,39.2,0.0,0.014
15,selectiveHE,-1,0.5738,0.7979,0.6822,0.7612,24852960,52.075,37.8,0.0,0.015
16,selectiveHE,-1,0.5635,0.8014,0.648,0.7751,24852960,51.131,39.2,0.0,0.017
17,selectiveHE,-1,0.56,0.8022,0.6276,0.7858,24852960,51.529,37.9,0.0,0.014
18,selectiveHE,-1,0.5442,0.8085,0.6386,0.7751,24852960,52.029,38.9,0.0,0.018
19,selectiveHE,-1,0.5336,0.8112,0.6171,0.7891,24852960,51.543,38.8,2.1,0.016
20,selectiveHE,-1,0.5261,0.8153,0.596,0.7974,24852960,52.038,38.2,0.0,0.016
