round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.0102,0.663,2.1912,0.279,39752400,40.666,32.2,423.4,0.017
2,selectiveHE,-1,1.0225,0.6553,1.782,0.3439,39752400,47.479,38.1,17.3,0.016
3,selectiveHE,-1,0.7723,0.7392,1.5023,0.4652,39752400,51.616,35.9,1.6,0.015
4,selectiveHE,-1,0.8278,0.7138,1.4179,0.4947,39752400,49.216,37.9,0.0,0.016
5,selectiveHE,-1,0.7834,0.7288,1.2906,0.5344,39752400,45.411,37.7,10.1,0.015
6,selectiveHE,-1,0.6885,0.7626,1.1741,0.5722,39752400,52.048,37.0,0.0,0.018
7,selectiveHE,-1,0.6309,0.7818,1.1002,0.6031,39752400,45.227,37.7,0.0,0.017
8,selectiveHE,-1,0.6275,0.7861,1.0619,0.6285,39752400,34.205,38.4,0.0,0.017
9,selectiveHE,-1,0.5781,0.7978,1.0427,0.6278,39752400,51.18,37.2,0.0,0.018
10,selectiveHE,-1,0.5645,0.8037,0.9849,0.6481,39752400,44.348,37.8,0.0,0.016
11,selectiveHE,-1,0.5852,0.7996,1.0306,0.6276,39752400,42.759,38.3,0.0,0.016
12,selectiveHE,-1,0.5759,0.8033,0.9754,0.6533,39752400,48.576,37.2,0.0,0.017
13,selectiveHE,-1,0.5215,0.8198,0.9615,0.6579,39752400,44.631,37.6,0.0,0.017
14,selectiveHE,-1,0.4908,0.8289,0.8809,0.6981,39752400,47.37,38.1,0.0,0.019
15,selectiveHE,-1,0.4994,0.8292,0.8787,0.687,39752400,33.39,38.1,0.0,0.017
16,selectiveHE,-1,0.4787,0.8334,0.9802,0.6636,39752400,42.666,37.3,0.0,0.016
17,selectiveHE,-1,0.4497,0.8442,0.9739,0.6471,39752400,33.018,37.7,0.0,0.016
18,selectiveHE,-1,0.4387,0.8497,0.8887,0.6846,39752400,48.628,37.0,0.0,0.018
19,selectiveHE,-1,0.4598,0.8418,0.8408,0.701,39752400,31.614,37.6,0.0,0.017
20,selectiveHE,-1,0.4016,0.8611,0.8459,0.7043,39752400,32.85,38.1,0.0,0.017
