round,arch,latency_ms,eval_acc,eval_loss,train_acc,enc_overhead_ms,latency_overhead_ms,wall_time_s
1,SimpleCNN,0,27.47,2.1392,0.544,20.42,0.0,44.18
2,SimpleCNN,0,43.52,1.6227,0.5939,16.76,0.0,44.35
3,SimpleCNN,0,53.81,1.3428,0.6373,17.85,0.0,44.87
4,SimpleCNN,0,57.45,1.2024,0.6675,15.95,0.0,51.01
5,SimpleCNN,0,58.8,1.1504,0.698,15.53,0.0,51.61
6,SimpleCNN,0,64.53,1.0067,0.7108,19.29,0.0,49.57
7,SimpleCNN,0,64.16,1.0034,0.7342,14.43,0.0,45.85
8,SimpleCNN,0,65.79,0.9684,0.7564,20.07,0.0,46.09
9,SimpleCNN,0,67.85,0.9079,0.7536,17.9,0.0,50.71
10,SimpleCNN,0,66.12,0.9144,0.7679,18.97,0.0,46.47
11,SimpleCNN,0,69.8,0.8457,0.773,16.6,0.0,47.49
12,SimpleCNN,0,71.08,0.8367,0.7741,17.33,0.0,46.64
13,SimpleCNN,0,70.32,0.8221,0.7903,16.77,0.0,45.99
14,SimpleCNN,0,71.82,0.811,0.7873,18.07,0.0,42.8
15,SimpleCNN,0,72.72,0.7969,0.8146,17.12,0.0,44.73
16,SimpleCNN,0,74.24,0.7464,0.8075,16.8,0.0,45.98
17,SimpleCNN,0,72.24,0.8032,0.8224,18.4,0.0,42.36
18,SimpleCNN,0,74.11,0.7511,0.8015,18.29,0.0,43.93
19,SimpleCNN,0,73.8,0.7526,0.8269,20.7,0.0,44.55
20,SimpleCNN,0,73.0,0.794,0.8289,20.22,0.0,46.59
