round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.2613,0.5519,2.1447,0.2906,39752400,42.935,33.8,414.4,0.015
2,selectiveHE,-1,1.1326,0.6062,1.5774,0.4509,39752400,39.418,37.7,17.1,0.016
3,selectiveHE,-1,1.0303,0.6446,1.3106,0.5447,39752400,42.179,36.7,0.1,0.019
4,selectiveHE,-1,0.9479,0.6695,1.2093,0.5681,39752400,46.548,38.6,1.5,0.015
5,selectiveHE,-1,0.8591,0.7038,1.1174,0.6102,39752400,45.598,38.6,0.0,0.017
6,selectiveHE,-1,0.8335,0.7119,1.0179,0.6407,39752400,45.863,38.2,7.2,0.016
7,selectiveHE,-1,0.7669,0.7372,0.9593,0.6727,39752400,41.531,38.7,0.0,0.016
8,selectiveHE,-1,0.7055,0.7563,0.984,0.6544,39752400,41.985,38.1,0.0,0.015
9,selectiveHE,-1,0.7093,0.754,0.8947,0.6804,39752400,45.998,38.4,0.0,0.015
10,selectiveHE,-1,0.6774,0.7672,0.862,0.6991,39752400,42.376,39.2,0.0,0.016
11,selectiveHE,-1,0.6581,0.7743,0.8506,0.6991,39752400,43.689,38.4,0.0,0.017
12,selectiveHE,-1,0.659,0.7718,0.8241,0.7232,39752400,42.909,38.0,0.0,0.017
13,selectiveHE,-1,0.6097,0.7926,0.7951,0.7243,39752400,41.902,37.9,3.3,0.014
14,selectiveHE,-1,0.613,0.7877,0.8176,0.718,39752400,39.602,37.5,0.0,0.017
15,selectiveHE,-1,0.5469,0.8117,0.7902,0.7275,39752400,44.274,37.9,0.0,0.016
16,selectiveHE,-1,0.5571,0.8084,0.7463,0.7406,39752400,43.56,38.5,0.0,0.016
17,selectiveHE,-1,0.5278,0.8201,0.7727,0.7291,39752400,37.108,38.7,0.0,0.014
18,selectiveHE,-1,0.571,0.802,0.7123,0.7571,39752400,38.858,37.8,0.0,0.016
19,selectiveHE,-1,0.5108,0.8249,0.7401,0.7409,39752400,39.129,37.6,0.0,0.019
20,selectiveHE,-1,0.5002,0.8279,0.7418,0.743,39752400,36.457,39.2,0.0,0.017
