round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.4174,0.5019,2.1597,0.3189,79484240,47.612,37.9,445.5,0.018
2,selectiveHE,-1,1.3266,0.5435,1.6994,0.3864,79484240,43.483,39.4,23.6,0.015
3,selectiveHE,-1,1.1441,0.6004,1.5244,0.4545,79484240,44.828,37.9,6.5,0.015
4,selectiveHE,-1,1.1222,0.6062,1.4671,0.4985,79484240,45.162,39.4,0.0,0.015
5,selectiveHE,-1,1.0736,0.6257,1.3252,0.5447,79484240,44.348,39.7,0.0,0.016
6,selectiveHE,-1,1.0104,0.6512,1.2339,0.574,79484240,45.526,39.4,3.8,0.015
7,selectiveHE,-1,0.9497,0.6697,1.2311,0.5615,79484240,44.548,39.5,0.0,0.015
8,selectiveHE,-1,0.9452,0.6706,1.1345,0.6036,79484240,42.337,39.5,0.0,0.017
9,selectiveHE,-1,0.9015,0.6869,1.142,0.5988,79484240,44.273,39.5,0.0,0.016
10,selectiveHE,-1,0.9105,0.6815,1.0594,0.6361,79484240,42.777,39.2,0.0,0.015
11,selectiveHE,-1,0.8649,0.6979,0.9879,0.6553,79484240,40.687,39.2,0.0,0.016
12,selectiveHE,-1,0.8383,0.7102,0.9734,0.6698,79484240,42.677,39.3,0.0,0.016
13,selectiveHE,-1,0.8073,0.7191,1.008,0.6445,79484240,41.641,39.5,0.0,0.017
14,selectiveHE,-1,0.7919,0.7242,0.9787,0.6626,79484240,44.667,39.4,0.0,0.015
15,selectiveHE,-1,0.7718,0.7339,0.9327,0.6729,79484240,42.375,39.4,0.0,0.016
16,selectiveHE,-1,0.7614,0.7369,0.911,0.6876,79484240,45.057,39.5,0.0,0.016
17,selectiveHE,-1,0.7449,0.7426,0.883,0.6956,79484240,45.14,39.6,0.0,0.015
18,selectiveHE,-1,0.7557,0.736,0.8677,0.7081,79484240,40.917,39.1,0.0,0.015
19,selectiveHE,-1,0.7054,0.7544,0.879,0.6966,79484240,42.323,39.4,2.1,0.016
20,selectiveHE,-1,0.7157,0.7494,0.8432,0.7034,79484240,45.631,39.6,0.0,0.016
